2025-04-18 15:00:54,407 INFO [default] Successfully init Logger Config Module 
2025-04-18 15:00:54,407 INFO [default] 422 open successful
2025-04-18 15:00:54,651 INFO [default] Successfully set connections in UI Interface 
2025-04-18 15:00:54,651 ERROR [default] Failed to parse toml file: File could not be opened for reading
2025-04-18 15:00:54,651 ERROR [default] 422 open fail
2025-04-18 15:00:57,963 INFO [default] Alreay set value to True in Read Viper Continuous
2025-04-18 15:00:57,963 INFO [default] flagViper thread status: 1
2025-04-18 15:00:57,963 INFO [default] MasterConsole Data Update thread ID: 140633087919872
2025-04-18 15:00:57,963 INFO [default] Successfully start Master Console Thread 
2025-04-18 15:00:57,963 ERROR [default] Failed to parse toml file: File could not be opened for reading
2025-04-18 15:00:57,963 INFO [default] EtherCat thread ID: 140632865634048
2025-04-18 15:01:07,963 INFO [default] Successfully start Message Thread 
2025-04-18 15:01:09,686 ERROR [default] Error: there is no ErrorCode in TxPDO mapping under this motor type, please check PDO setting!
2025-04-18 15:01:09,686 ERROR [default] Error: there is no ErrorCode in TxPDO mapping under this motor type, please check PDO setting!
2025-04-18 15:01:09,686 ERROR [default] Error: there is no ErrorCode in TxPDO mapping under this motor type, please check PDO setting!
2025-04-18 15:01:09,686 ERROR [default] Error: there is no ErrorCode in TxPDO mapping under this motor type, please check PDO setting!
2025-04-18 15:01:09,686 ERROR [default] Error: there is no ErrorCode in TxPDO mapping under this motor type, please check PDO setting!
2025-04-18 15:01:09,686 ERROR [default] Error: there is no ErrorCode in TxPDO mapping under this motor type, please check PDO setting!
2025-04-18 15:01:09,686 ERROR [default] Error: there is no ErrorCode in TxPDO mapping under this motor type, please check PDO setting!
2025-04-18 15:01:09,686 ERROR [default] Error: there is no ErrorCode in TxPDO mapping under this motor type, please check PDO setting!
2025-04-18 15:01:09,686 INFO [default] EtherCat Communication thread status: 1

2025-04-18 15:01:09,687 ERROR [default] Error: there is no ErrorCode in TxPDO mapping under this motor type, please check PDO setting!
2025-04-18 15:01:09,688 ERROR [default] Error: there is no ErrorCode in TxPDO mapping under this motor type, please check PDO setting!
2025-04-18 15:01:09,688 ERROR [default] Error: there is no ErrorCode in TxPDO mapping under this motor type, please check PDO setting!
